Date,Machine Learning Engineer,Data Scientist,Data Analyst,Data Engineer,Director of Data,AI Engineer,Software Engineer,AI Researcher,Product Manager,Technical Program Manager
2025-12-20,272,742,759.0,2535,156.0,,,,,
2025-12-21,233,887,685.0,2544,147.0,,,,,
2025-12-21,324,1108,838.0,3116,,1041.0,4365.0,574.0,,
2025-12-21,360,1201,,3427,,1125.0,4807.0,626.0,7431.0,501.0
2025-12-23 06:20:08,557,977,,3397,,1298.0,6257.0,731.0,11420.0,882.0
2025-12-24 01:14:29,211,444,,1472,,747.0,2102.0,248.0,4390.0,216.0
2025-12-25 01:15:06,294,486,,2173,,1063.0,3640.0,604.0,6431.0,699.0
2025-12-26 01:15:23,152,317,,1099,,468.0,1874.0,216.0,3392.0,362.0
2025-12-27 01:13:31,66,210,,767,,303.0,1270.0,137.0,2305.0,131.0
2025-12-28 01:23:42,111,224,,837,,324.0,1311.0,254.0,2761.0,231.0
